"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"07/18/2022","4","31.38 km","7.85 km","11.05 km","3:09:50 h:m:s","2,387","375 m","9.9 kph","6:03 /km","154 bpm","158 spm"
"07/11/2022","8","56.72 km","7.09 km","13.71 km","4:42:02 h:m:s","3,025","412 m","12.1 kph","4:58 /km","135 bpm","155 spm"
"07/04/2022","7","56.09 km","8.01 km","18.03 km","4:08:30 h:m:s","2,740","321 m","13.5 kph","4:26 /km","140 bpm","162 spm"
"06/27/2022","9","31.48 km","3.50 km","8.04 km","3:36:04 h:m:s","2,080","110 m","8.7 kph","6:52 /km","110 bpm","145 spm"
"06/20/2022","10","88.23 km","8.82 km","18.43 km","7:13:44 h:m:s","4,623","1,201 m","12.2 kph","4:55 /km","--","154 spm"
"06/13/2022","8","71.28 km","8.91 km","22.49 km","6:42:17 h:m:s","4,123","981 m","10.6 kph","5:39 /km","124 bpm","155 spm"
"06/06/2022","6","26.69 km","4.45 km","14.80 km","2:01:35 h:m:s","1,526","287 m","13.2 kph","4:33 /km","--","105 spm"
"05/30/2022","8","47.13 km","5.89 km","15.21 km","4:45:10 h:m:s","2,549","587 m","9.9 kph","6:03 /km","--","142 spm"
"05/23/2022","9","65.12 km","7.24 km","13.96 km","6:03:12 h:m:s","3,820","838 m","10.8 kph","5:35 /km","--","150 spm"
"05/16/2022","10","70.30 km","7.03 km","10.97 km","6:06:15 h:m:s","4,268","662 m","11.5 kph","5:13 /km","--","157 spm"
"05/09/2022","9","94.43 km","10.49 km","30.04 km","7:02:41 h:m:s","4,590","1,251 m","13.4 kph","4:29 /km","159 bpm","158 spm"
"05/02/2022","10","59.17 km","5.92 km","9.76 km","5:45:37 h:m:s","3,952","771 m","10.3 kph","5:50 /km","--","153 spm"
"04/25/2022","9","70.21 km","7.80 km","14.29 km","7:28:28 h:m:s","4,212","1,209 m","9.4 kph","6:23 /km","143 bpm","150 spm"
"04/18/2022","8","50.98 km","6.37 km","10.76 km","5:03:30 h:m:s","3,460","582 m","10.1 kph","5:57 /km","88 bpm","149 spm"
"04/11/2022","8","51.35 km","6.42 km","15.56 km","6:04:30 h:m:s","3,172","817 m","8.5 kph","7:06 /km","127 bpm","154 spm"
"04/04/2022","8","63.79 km","7.97 km","10.86 km","6:11:10 h:m:s","3,850","740 m","10.3 kph","5:49 /km","--","147 spm"
"03/28/2022","8","62.36 km","7.80 km","11.01 km","5:52:25 h:m:s","4,360","872 m","10.6 kph","5:39 /km","--","151 spm"
"03/21/2022","7","41.87 km","5.98 km","10.02 km","4:26:14 h:m:s","3,226","622 m","9.4 kph","6:22 /km","--","160 spm"
"03/14/2022","8","50.70 km","6.34 km","10.03 km","6:17:00 h:m:s","3,835","837 m","8.1 kph","7:26 /km","--","150 spm"
"03/07/2022","5","34.17 km","6.83 km","10.02 km","3:13:23 h:m:s","2,698","508 m","10.6 kph","5:40 /km","--","161 spm"
"02/28/2022","9","61.93 km","6.88 km","11.29 km","7:00:24 h:m:s","4,804","1,261 m","8.8 kph","6:47 /km","--","150 spm"
"02/21/2022","5","50.67 km","10.13 km","16.65 km","4:33:01 h:m:s","2,914","595 m","11.1 kph","5:23 /km","148 bpm","149 spm"
"02/14/2022","10","87.17 km","8.72 km","20.17 km","8:27:32 h:m:s","5,333","1,040 m","10.3 kph","5:49 /km","128 bpm","150 spm"
"02/07/2022","10","57.27 km","5.73 km","13.20 km","6:46:12 h:m:s","4,430","2,061 m","8.5 kph","7:06 /km","126 bpm","150 spm"
"01/31/2022","8","40.46 km","5.06 km","12.01 km","5:25:49 h:m:s","3,179","532 m","7.5 kph","8:03 /km","116 bpm","145 spm"
"01/24/2022","9","49.73 km","5.53 km","14.03 km","7:53:22 h:m:s","4,676","1,085 m","6.3 kph","9:31 /km","132 bpm","142 spm"
"01/17/2022","8","51.08 km","6.39 km","15.05 km","6:41:52 h:m:s","4,177","708 m","7.6 kph","7:52 /km","125 bpm","145 spm"
"01/10/2022","7","44.46 km","6.35 km","11.68 km","6:17:20 h:m:s","3,391","927 m","7.1 kph","8:29 /km","152 bpm","151 spm"
"01/03/2022","9","60.26 km","6.70 km","18.53 km","6:37:59 h:m:s","4,613","504 m","9.1 kph","6:36 /km","134 bpm","147 spm"
"12/27/2021","6","60.66 km","10.11 km","12.55 km","6:28:07 h:m:s","4,558","1,266 m","9.4 kph","6:24 /km","155 bpm","153 spm"
"12/20/2021","7","58.35 km","8.34 km","14.25 km","6:23:21 h:m:s","3,840","927 m","9.1 kph","6:34 /km","156 bpm","139 spm"
"12/13/2021","4","32.34 km","8.08 km","12.05 km","3:49:30 h:m:s","2,090","382 m","8.5 kph","7:06 /km","143 bpm","121 spm"
"12/06/2021","6","58.53 km","9.76 km","16.47 km","6:44:42 h:m:s","4,282","896 m","8.7 kph","6:55 /km","139 bpm","141 spm"
"11/29/2021","6","60.70 km","10.12 km","14.18 km","6:01:49 h:m:s","3,897","342 m","10.1 kph","5:58 /km","146 bpm","159 spm"
"11/22/2021","7","56.78 km","8.11 km","14.01 km","5:31:30 h:m:s","3,517","944 m","10.3 kph","5:50 /km","160 bpm","157 spm"
"11/15/2021","5","52.85 km","10.57 km","11.18 km","5:31:34 h:m:s","3,104","1,051 m","9.6 kph","6:16 /km","152 bpm","158 spm"
"11/08/2021","7","54.20 km","7.74 km","17.01 km","6:45:44 h:m:s","3,749","672 m","8.0 kph","7:29 /km","151 bpm","156 spm"
"11/01/2021","6","47.06 km","7.84 km","13.27 km","4:32:20 h:m:s","2,889","557 m","10.4 kph","5:47 /km","150 bpm","159 spm"
"10/25/2021","5","48.68 km","9.74 km","17.06 km","4:51:36 h:m:s","2,671","582 m","10.0 kph","5:59 /km","148 bpm","157 spm"
"10/18/2021","6","40.37 km","6.73 km","10.04 km","4:47:19 h:m:s","2,480","765 m","8.4 kph","7:07 /km","154 bpm","144 spm"
"10/11/2021","5","42.81 km","8.56 km","21.41 km","4:34:55 h:m:s","2,852","887 m","9.3 kph","6:25 /km","--","157 spm"
"10/04/2021","2","16.64 km","8.32 km","10.02 km","1:37:08 h:m:s","1,147","196 m","10.3 kph","5:50 /km","--","158 spm"
"09/27/2021","5","38.65 km","7.73 km","15.17 km","4:33:36 h:m:s","2,427","802 m","8.5 kph","7:05 /km","--","146 spm"
"09/20/2021","7","40.10 km","5.73 km","12.13 km","5:27:35 h:m:s","2,631","523 m","7.3 kph","8:10 /km","--","119 spm"
"09/13/2021","6","38.83 km","6.47 km","14.01 km","4:29:38 h:m:s","2,529","816 m","8.6 kph","6:57 /km","--","141 spm"
"09/06/2021","4","33.27 km","8.32 km","10.57 km","3:25:18 h:m:s","2,221","521 m","9.7 kph","6:10 /km","--","150 spm"
"08/30/2021","4","33.51 km","8.38 km","11.33 km","3:09:23 h:m:s","2,303","319 m","10.6 kph","5:39 /km","--","158 spm"
"08/23/2021","5","32.85 km","6.57 km","10.02 km","3:38:35 h:m:s","2,208","517 m","9.0 kph","6:39 /km","--","144 spm"
"08/16/2021","4","31.18 km","7.80 km","10.01 km","3:06:59 h:m:s","2,091","411 m","10.0 kph","6:00 /km","--","150 spm"
"08/09/2021","4","30.19 km","7.55 km","10.04 km","2:49:00 h:m:s","2,060","286 m","10.7 kph","5:36 /km","--","156 spm"
"08/02/2021","5","31.33 km","6.27 km","10.13 km","2:48:49 h:m:s","2,127","190 m","11.1 kph","5:23 /km","--","157 spm"
"07/26/2021","3","28.15 km","9.38 km","12.03 km","2:39:44 h:m:s","1,930","289 m","10.6 kph","5:41 /km","--","156 spm"
"07/19/2021","5","34.41 km","6.88 km","8.27 km","3:23:37 h:m:s","2,281","437 m","10.1 kph","5:55 /km","--","156 spm"
"07/12/2021","3","27.30 km","9.10 km","10.11 km","2:44:20 h:m:s","1,867","517 m","10.0 kph","6:01 /km","--","156 spm"
"07/05/2021","3","21.56 km","7.19 km","8.53 km","2:03:57 h:m:s","1,473","223 m","10.4 kph","5:45 /km","--","157 spm"
"06/28/2021","4","30.49 km","7.62 km","10.06 km","2:47:39 h:m:s","2,100","273 m","10.9 kph","5:30 /km","--","156 spm"
"06/21/2021","4","30.17 km","7.54 km","10.03 km","2:55:42 h:m:s","2,062","342 m","10.3 kph","5:49 /km","--","156 spm"
"06/14/2021","5","40.97 km","8.19 km","12.02 km","4:40:21 h:m:s","2,654","723 m","8.8 kph","6:51 /km","--","139 spm"
"06/07/2021","5","32.74 km","6.55 km","9.72 km","3:37:10 h:m:s","2,151","497 m","9.0 kph","6:38 /km","--","140 spm"
"05/31/2021","4","28.38 km","7.09 km","10.02 km","3:29:06 h:m:s","1,820","472 m","8.1 kph","7:22 /km","--","136 spm"
"05/24/2021","4","35.14 km","8.78 km","14.05 km","3:51:11 h:m:s","2,116","606 m","9.1 kph","6:35 /km","--","144 spm"
"05/17/2021","3","29.51 km","9.84 km","10.77 km","2:47:51 h:m:s","2,014","278 m","10.5 kph","5:41 /km","--","157 spm"
"05/10/2021","5","40.42 km","8.08 km","11.32 km","4:18:31 h:m:s","2,667","534 m","9.4 kph","6:24 /km","--","148 spm"
"05/03/2021","2","25.08 km","12.54 km","13.05 km","2:23:47 h:m:s","1,727","418 m","10.5 kph","5:44 /km","--","157 spm"
"04/26/2021","3","30.30 km","10.10 km","10.93 km","3:03:55 h:m:s","2,018","406 m","9.9 kph","6:04 /km","--","155 spm"
"04/19/2021","5","34.97 km","6.99 km","10.05 km","4:16:50 h:m:s","2,189","827 m","8.2 kph","7:21 /km","--","141 spm"
"04/12/2021","4","27.47 km","6.87 km","8.22 km","2:59:45 h:m:s","1,699","384 m","9.2 kph","6:33 /km","--","145 spm"
"04/05/2021","4","30.61 km","7.65 km","11.01 km","3:04:27 h:m:s","2,089","224 m","10.0 kph","6:02 /km","--","153 spm"
"03/29/2021","4","27.76 km","6.94 km","9.41 km","2:37:59 h:m:s","1,901","101 m","10.5 kph","5:41 /km","--","156 spm"
"03/22/2021","3","17.05 km","5.68 km","9.70 km","1:42:25 h:m:s","1,161","252 m","10.0 kph","6:00 /km","--","147 spm"
"03/15/2021","4","29.61 km","7.40 km","9.50 km","3:10:46 h:m:s","1,562","185 m","9.3 kph","6:27 /km","--","144 spm"
"03/08/2021","4","29.69 km","7.42 km","9.27 km","3:51:34 h:m:s","1,846","653 m","7.7 kph","7:48 /km","--","133 spm"
"03/01/2021","5","31.24 km","6.25 km","8.53 km","3:15:44 h:m:s","2,085","646 m","9.6 kph","6:16 /km","--","154 spm"
"02/22/2021","4","28.30 km","7.08 km","10.04 km","2:49:33 h:m:s","1,905","322 m","10.0 kph","5:59 /km","--","155 spm"
"02/15/2021","4","27.86 km","6.96 km","9.20 km","2:34:16 h:m:s","1,912","232 m","10.8 kph","5:32 /km","--","157 spm"
"02/08/2021","3","25.48 km","8.49 km","10.27 km","2:31:29 h:m:s","1,737","199 m","10.1 kph","5:57 /km","--","156 spm"
"02/01/2021","5","29.93 km","5.99 km","10.17 km","3:03:02 h:m:s","2,034","331 m","9.8 kph","6:07 /km","--","153 spm"
"01/18/2021","4","17.55 km","4.39 km","5.50 km","1:42:46 h:m:s","1,203","90 m","10.2 kph","5:51 /km","--","155 spm"
"01/11/2021","3","26.35 km","8.78 km","10.04 km","2:35:36 h:m:s","1,800","400 m","10.2 kph","5:54 /km","--","157 spm"
"01/04/2021","4","38.46 km","9.62 km","15.00 km","4:03:47 h:m:s","2,567","603 m","9.5 kph","6:20 /km","--","155 spm"
"12/28/2020","4","30.17 km","7.54 km","9.87 km","3:00:05 h:m:s","2,070","249 m","10.1 kph","5:58 /km","--","155 spm"
"12/21/2020","3","25.17 km","8.39 km","11.86 km","2:21:13 h:m:s","1,711","310 m","10.7 kph","5:37 /km","--","157 spm"
"12/14/2020","4","30.52 km","7.63 km","9.37 km","2:49:09 h:m:s","2,070","186 m","10.8 kph","5:33 /km","--","157 spm"
"12/07/2020","3","22.64 km","7.55 km","9.70 km","2:10:52 h:m:s","1,552","120 m","10.4 kph","5:47 /km","--","156 spm"
"11/30/2020","3","28.65 km","9.55 km","12.04 km","2:42:52 h:m:s","1,972","225 m","10.6 kph","5:41 /km","--","156 spm"
"11/23/2020","3","23.57 km","7.86 km","8.01 km","2:11:26 h:m:s","1,615","131 m","10.8 kph","5:35 /km","--","156 spm"
"11/16/2020","2","12.85 km","6.43 km","8.12 km","1:13:40 h:m:s","891","76 m","10.5 kph","5:44 /km","--","155 spm"
"11/09/2020","3","22.83 km","7.61 km","10.36 km","2:05:59 h:m:s","1,567","42 m","10.9 kph","5:31 /km","--","156 spm"
"11/02/2020","2","18.04 km","9.02 km","10.03 km","1:40:48 h:m:s","1,241","93 m","10.7 kph","5:35 /km","--","156 spm"
"10/26/2020","4","24.13 km","6.03 km","9.01 km","2:17:27 h:m:s","1,660","83 m","10.5 kph","5:42 /km","--","156 spm"
"10/19/2020","2","16.01 km","8.00 km","8.01 km","1:30:36 h:m:s","1,101","89 m","10.6 kph","5:40 /km","--","156 spm"
"10/12/2020","2","13.27 km","6.64 km","8.01 km","1:13:45 h:m:s","911","76 m","10.8 kph","5:33 /km","--","155 spm"
"10/05/2020","3","25.75 km","8.58 km","11.98 km","2:08:15 h:m:s","1,770","125 m","12.0 kph","4:59 /km","--","158 spm"
"09/28/2020","4","34.02 km","8.51 km","16.92 km","4:46:16 h:m:s","2,043","878 m","7.1 kph","8:25 /km","--","135 spm"
"09/21/2020","5","37.07 km","7.41 km","12.55 km","3:56:50 h:m:s","2,507","567 m","9.4 kph","6:23 /km","--","146 spm"
"09/14/2020","3","27.36 km","9.12 km","11.15 km","2:49:41 h:m:s","1,882","355 m","9.7 kph","6:12 /km","--","149 spm"
"09/07/2020","4","31.99 km","8.00 km","12.61 km","3:17:37 h:m:s","2,158","799 m","9.7 kph","6:11 /km","--","148 spm"
"08/31/2020","4","24.20 km","6.05 km","7.33 km","2:31:04 h:m:s","1,607","316 m","9.6 kph","6:15 /km","--","146 spm"
"08/24/2020","4","40.80 km","10.20 km","12.01 km","4:12:58 h:m:s","2,731","831 m","9.7 kph","6:12 /km","--","150 spm"
"08/17/2020","3","28.08 km","9.36 km","10.36 km","2:40:32 h:m:s","1,927","212 m","10.5 kph","5:43 /km","--","152 spm"
"08/10/2020","2","19.22 km","9.61 km","9.71 km","1:50:11 h:m:s","1,318","264 m","10.5 kph","5:44 /km","--","152 spm"
"08/03/2020","3","19.05 km","6.35 km","9.03 km","1:51:31 h:m:s","1,269","239 m","10.2 kph","5:51 /km","--","148 spm"
"07/27/2020","5","37.29 km","7.46 km","10.15 km","4:39:51 h:m:s","2,313","555 m","8.0 kph","7:30 /km","--","133 spm"
"07/20/2020","4","31.39 km","7.85 km","10.01 km","2:50:58 h:m:s","2,147","567 m","11.0 kph","5:27 /km","--","154 spm"
"07/13/2020","4","28.54 km","7.13 km","10.02 km","2:36:48 h:m:s","1,956","141 m","10.9 kph","5:30 /km","--","154 spm"
"07/06/2020","4","34.06 km","8.51 km","10.00 km","3:18:18 h:m:s","2,245","404 m","10.3 kph","5:49 /km","--","153 spm"
"06/29/2020","3","25.07 km","8.36 km","10.03 km","2:17:07 h:m:s","1,719","148 m","11.0 kph","5:28 /km","--","156 spm"
"06/22/2020","1","8.38 km","8.38 km","8.38 km","44:55 h:m:s","576","52 m","11.2 kph","5:22 /km","--","156 spm"
"06/15/2020","3","26.21 km","8.74 km","10.20 km","2:24:34 h:m:s","1,792","408 m","10.9 kph","5:31 /km","--","155 spm"
"06/08/2020","4","27.50 km","6.88 km","8.12 km","2:27:13 h:m:s","1,885","126 m","11.2 kph","5:21 /km","--","155 spm"
"06/01/2020","3","19.83 km","6.61 km","7.64 km","1:56:00 h:m:s","1,358","130 m","10.3 kph","5:51 /km","--","155 spm"
"05/25/2020","3","22.84 km","7.61 km","8.51 km","2:00:58 h:m:s","1,574","110 m","11.3 kph","5:18 /km","--","155 spm"
"05/18/2020","4","30.07 km","7.52 km","8.21 km","2:52:11 h:m:s","2,041","330 m","10.5 kph","5:44 /km","--","152 spm"
"05/11/2020","3","17.55 km","5.85 km","8.20 km","1:37:17 h:m:s","1,208","117 m","10.8 kph","5:33 /km","--","153 spm"
"05/04/2020","3","20.57 km","6.86 km","9.02 km","2:10:41 h:m:s","1,364","709 m","9.4 kph","6:21 /km","--","143 spm"
"04/27/2020","3","26.52 km","8.84 km","10.03 km","2:28:40 h:m:s","1,820","180 m","10.7 kph","5:36 /km","--","153 spm"
"04/20/2020","3","22.79 km","7.60 km","10.00 km","2:12:34 h:m:s","1,555","384 m","10.3 kph","5:49 /km","--","154 spm"
"04/13/2020","3","23.87 km","7.96 km","9.50 km","2:20:12 h:m:s","1,620","406 m","10.2 kph","5:52 /km","--","154 spm"
"04/06/2020","2","13.02 km","6.51 km","7.02 km","1:13:42 h:m:s","889","94 m","10.6 kph","5:39 /km","--","153 spm"
"03/30/2020","2","14.15 km","7.08 km","9.09 km","1:20:31 h:m:s","975","124 m","10.5 kph","5:41 /km","--","152 spm"
"03/23/2020","3","21.65 km","7.22 km","8.64 km","2:07:42 h:m:s","1,504","198 m","10.2 kph","5:54 /km","--","149 spm"
"03/16/2020","1","7.00 km","7.00 km","7.00 km","39:38 h:m:s","479","52 m","10.6 kph","5:40 /km","--","151 spm"
"03/09/2020","2","14.62 km","7.31 km","7.40 km","1:23:04 h:m:s","1,003","84 m","10.6 kph","5:41 /km","--","150 spm"
"03/02/2020","2","9.57 km","4.79 km","6.20 km","57:42 h:m:s","666","51 m","10.0 kph","6:02 /km","--","150 spm"
"02/24/2020","2","14.04 km","7.02 km","7.04 km","1:19:49 h:m:s","951","229 m","10.6 kph","5:41 /km","--","153 spm"
"02/17/2020","3","19.81 km","6.60 km","8.50 km","1:56:53 h:m:s","1,366","157 m","10.2 kph","5:54 /km","--","151 spm"
"02/10/2020","2","15.62 km","7.81 km","10.02 km","1:29:55 h:m:s","1,077","154 m","10.4 kph","5:45 /km","--","154 spm"
"02/03/2020","2","11.45 km","5.72 km","5.90 km","1:02:32 h:m:s","787","78 m","11.0 kph","5:28 /km","--","154 spm"
"01/27/2020","3","17.75 km","5.92 km","7.20 km","1:43:56 h:m:s","1,225","126 m","10.2 kph","5:51 /km","--","152 spm"
"01/20/2020","1","6.03 km","6.03 km","6.03 km","32:20 h:m:s","425","38 m","11.2 kph","5:22 /km","--","155 spm"
"01/13/2020","2","12.06 km","6.03 km","7.00 km","1:10:34 h:m:s","834","86 m","10.3 kph","5:51 /km","--","152 spm"
"01/06/2020","3","18.49 km","6.16 km","8.10 km","1:50:34 h:m:s","1,279","158 m","10.0 kph","5:59 /km","--","153 spm"
"12/30/2019","1","5.01 km","5.01 km","5.01 km","30:40 h:m:s","346","39 m","9.8 kph","6:07 /km","--","151 spm"
"12/23/2019","1","2.66 km","2.66 km","2.66 km","16:15 h:m:s","181","61 m","9.8 kph","6:07 /km","--","150 spm"
"12/16/2019","1","5.06 km","5.06 km","5.06 km","27:25 h:m:s","346","42 m","11.1 kph","5:25 /km","--","151 spm"
"12/09/2019","2","9.95 km","4.97 km","5.40 km","1:01:22 h:m:s","685","86 m","9.7 kph","6:10 /km","--","150 spm"
"11/25/2019","2","9.36 km","4.68 km","5.01 km","57:19 h:m:s","647","83 m","9.8 kph","6:07 /km","--","151 spm"
"11/11/2019","2","7.24 km","3.62 km","5.01 km","44:02 h:m:s","499","10 m","9.9 kph","6:05 /km","--","149 spm"
"11/04/2019","2","6.07 km","3.03 km","5.56 km","35:03 h:m:s","415","13 m","10.4 kph","5:47 /km","--","146 spm"
"10/28/2019","2","11.04 km","5.52 km","6.01 km","1:09:05 h:m:s","763","51 m","9.6 kph","6:15 /km","--","148 spm"
"10/21/2019","2","11.02 km","5.51 km","6.00 km","1:07:10 h:m:s","761","31 m","9.8 kph","6:06 /km","--","149 spm"
"10/14/2019","2","5.46 km","2.73 km","4.25 km","31:54 h:m:s","372","6 m","10.3 kph","5:50 /km","--","146 spm"
"10/07/2019","1","4.67 km","4.67 km","4.67 km","27:57 h:m:s","321","74 m","10.0 kph","5:59 /km","--","148 spm"
"09/30/2019","3","16.60 km","5.53 km","9.70 km","2:14:27 h:m:s","1,018","449 m","7.4 kph","8:06 /km","--","135 spm"
"09/23/2019","2","7.93 km","3.96 km","5.04 km","50:17 h:m:s","538","37 m","9.5 kph","6:21 /km","--","146 spm"
"09/16/2019","1","2.43 km","2.43 km","2.43 km","13:50 h:m:s","166","2 m","10.5 kph","5:42 /km","--","148 spm"
"09/02/2019","2","6.02 km","3.01 km","3.01 km","36:19 h:m:s","413","75 m","9.9 kph","6:02 /km","--","148 spm"
"08/19/2019","1","3.01 km","3.01 km","3.01 km","17:05 h:m:s","205","12 m","10.6 kph","5:41 /km","--","149 spm"
"08/05/2019","3","13.09 km","4.36 km","4.71 km","1:48:03 h:m:s","784","342 m","7.3 kph","8:15 /km","--","128 spm"
"07/29/2019","6","38.35 km","6.39 km","9.07 km","5:16:23 h:m:s","2,315","929 m","7.3 kph","8:15 /km","--","128 spm"
"07/22/2019","3","22.84 km","7.61 km","9.13 km","2:09:13 h:m:s","1,572","300 m","10.6 kph","5:39 /km","--","151 spm"
"07/15/2019","4","22.67 km","5.67 km","7.64 km","2:06:17 h:m:s","1,559","196 m","10.8 kph","5:34 /km","--","150 spm"
"07/08/2019","4","20.73 km","5.18 km","7.85 km","1:56:00 h:m:s","1,434","111 m","10.7 kph","5:36 /km","--","151 spm"
"07/01/2019","4","17.99 km","4.50 km","7.95 km","2:06:42 h:m:s","1,217","107 m","8.5 kph","7:03 /km","--","119 spm"
"06/24/2019","4","26.69 km","6.67 km","10.20 km","2:41:27 h:m:s","1,765","627 m","9.9 kph","6:03 /km","--","150 spm"
"06/17/2019","5","28.38 km","5.68 km","11.70 km","3:41:36 h:m:s","1,810","336 m","7.7 kph","7:48 /km","--","123 spm"
"06/10/2019","3","18.78 km","6.26 km","6.69 km","1:40:57 h:m:s","1,296","101 m","11.2 kph","5:22 /km","--","152 spm"
"06/03/2019","3","18.85 km","6.28 km","7.42 km","1:44:15 h:m:s","1,316","111 m","10.8 kph","5:32 /km","--","152 spm"
"05/27/2019","3","14.04 km","4.68 km","6.84 km","1:19:57 h:m:s","964","99 m","10.5 kph","5:42 /km","--","151 spm"
"05/20/2019","3","14.69 km","4.90 km","5.83 km","1:17:10 h:m:s","1,018","97 m","11.4 kph","5:15 /km","--","153 spm"
"05/13/2019","3","14.23 km","4.74 km","6.55 km","1:18:23 h:m:s","976","52 m","10.9 kph","5:31 /km","--","151 spm"
"05/06/2019","4","23.03 km","5.76 km","7.50 km","2:17:38 h:m:s","1,550","414 m","10.0 kph","5:59 /km","--","151 spm"
"04/29/2019","3","19.02 km","6.34 km","6.56 km","2:00:54 h:m:s","1,260","303 m","9.4 kph","6:21 /km","--","144 spm"
"04/22/2019","5","17.97 km","3.59 km","5.76 km","1:35:54 h:m:s","1,234","130 m","11.2 kph","5:20 /km","--","152 spm"
"04/15/2019","4","21.43 km","5.36 km","8.22 km","2:07:31 h:m:s","1,450","448 m","10.1 kph","5:57 /km","--","151 spm"
"04/08/2019","3","17.92 km","5.97 km","6.53 km","1:39:51 h:m:s","1,233","45 m","10.8 kph","5:34 /km","--","150 spm"
"04/01/2019","3","17.31 km","5.77 km","7.20 km","1:33:45 h:m:s","1,193","94 m","11.1 kph","5:25 /km","--","151 spm"
"03/25/2019","3","20.92 km","6.97 km","8.85 km","2:02:47 h:m:s","1,449","422 m","10.2 kph","5:52 /km","--","150 spm"
"03/18/2019","3","15.86 km","5.29 km","6.20 km","1:33:11 h:m:s","1,088","244 m","10.2 kph","5:53 /km","--","149 spm"
"03/11/2019","4","19.80 km","4.95 km","7.47 km","1:50:52 h:m:s","1,358","177 m","10.7 kph","5:36 /km","--","149 spm"
"03/04/2019","3","17.36 km","5.79 km","6.33 km","1:34:17 h:m:s","1,205","89 m","11.0 kph","5:26 /km","--","150 spm"
"02/25/2019","5","24.99 km","5.00 km","10.62 km","2:37:55 h:m:s","1,649","201 m","9.5 kph","6:19 /km","--","145 spm"
"02/18/2019","4","21.10 km","5.27 km","8.20 km","2:00:09 h:m:s","1,464","198 m","10.5 kph","5:42 /km","--","149 spm"
"02/11/2019","3","8.59 km","2.86 km","7.33 km","48:49 h:m:s","600","52 m","10.6 kph","5:41 /km","--","147 spm"
"02/04/2019","3","18.39 km","6.13 km","8.01 km","1:43:36 h:m:s","1,275","118 m","10.7 kph","5:38 /km","--","151 spm"
"01/28/2019","3","18.22 km","6.07 km","6.97 km","1:48:48 h:m:s","1,253","159 m","10.0 kph","5:58 /km","--","150 spm"
"01/21/2019","2","13.69 km","6.84 km","7.60 km","1:18:52 h:m:s","939","58 m","10.4 kph","5:46 /km","--","150 spm"
"01/14/2019","1","3.87 km","3.87 km","3.87 km","22:30 h:m:s","264","75 m","10.3 kph","5:49 /km","--","149 spm"
"01/07/2019","2","11.14 km","5.57 km","6.17 km","1:01:44 h:m:s","774","72 m","10.8 kph","5:33 /km","--","151 spm"
"12/31/2018","2","10.08 km","5.04 km","6.15 km","55:22 h:m:s","699","45 m","10.9 kph","5:29 /km","--","150 spm"
"12/24/2018","2","12.80 km","6.40 km","7.80 km","1:14:27 h:m:s","884","72 m","10.3 kph","5:49 /km","--","150 spm"
"12/17/2018","1","4.56 km","4.56 km","4.56 km","25:51 h:m:s","319","79 m","10.6 kph","5:40 /km","--","152 spm"
"12/10/2018","2","10.16 km","5.08 km","5.78 km","57:18 h:m:s","704","31 m","10.6 kph","5:38 /km","--","151 spm"
"11/26/2018","2","10.26 km","5.13 km","6.85 km","58:18 h:m:s","701","17 m","10.6 kph","5:41 /km","--","150 spm"
"11/19/2018","4","21.05 km","5.26 km","6.77 km","1:58:02 h:m:s","971","37 m","10.7 kph","5:36 /km","--","149 spm"
"11/12/2018","3","17.71 km","5.90 km","7.54 km","1:42:11 h:m:s","1,225","180 m","10.4 kph","5:46 /km","--","149 spm"
"11/05/2018","3","18.47 km","6.16 km","7.08 km","1:44:18 h:m:s","1,285","154 m","10.6 kph","5:39 /km","--","149 spm"
"10/29/2018","3","15.12 km","5.04 km","5.27 km","1:22:31 h:m:s","1,051","35 m","11.0 kph","5:27 /km","--","149 spm"
"10/22/2018","2","14.66 km","7.33 km","9.30 km","1:27:02 h:m:s","1,005","339 m","10.1 kph","5:56 /km","--","147 spm"
"10/15/2018","3","12.82 km","4.27 km","5.67 km","1:09:18 h:m:s","885","36 m","11.1 kph","5:24 /km","--","149 spm"
"10/08/2018","3","17.30 km","5.77 km","6.66 km","1:33:51 h:m:s","1,197","2 m","11.1 kph","5:26 /km","--","151 spm"
"10/01/2018","3","17.07 km","5.69 km","7.77 km","1:35:12 h:m:s","1,178","65 m","10.8 kph","5:35 /km","--","151 spm"
"09/24/2018","2","13.84 km","6.92 km","7.03 km","1:20:41 h:m:s","952","186 m","10.3 kph","5:50 /km","--","151 spm"
"09/17/2018","3","15.62 km","5.21 km","7.49 km","1:20:27 h:m:s","1,084","82 m","11.7 kph","5:09 /km","--","151 spm"
"09/10/2018","3","21.18 km","7.06 km","8.49 km","1:49:36 h:m:s","1,458","47 m","11.6 kph","5:10 /km","--","151 spm"
"09/03/2018","3","24.78 km","8.26 km","9.50 km","2:15:26 h:m:s","1,707","266 m","11.0 kph","5:28 /km","--","150 spm"
"08/27/2018","4","28.67 km","7.17 km","9.48 km","2:35:32 h:m:s","1,983","136 m","11.1 kph","5:25 /km","--","150 spm"
"08/20/2018","3","13.21 km","4.40 km","6.51 km","1:09:22 h:m:s","906","6 m","11.4 kph","5:15 /km","--","151 spm"
