"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"01/05/2015","10","65.53 km","6.55 km","12.01 km","5:44:53 h:m:s","3,633","1,223 m","11.4 kph","5:16 /km","145 bpm","--"
"12/29/2014","9","64.91 km","8.11 km","20.90 km","6:57:31 h:m:s","4,618","1,105 m","9.3 kph","6:26 /km","142 bpm","--"
"12/22/2014","8","86.65 km","10.83 km","20.01 km","7:17:41 h:m:s","5,422","1,505 m","11.9 kph","5:03 /km","150 bpm","--"
"12/15/2014","9","68.51 km","7.61 km","11.90 km","6:44:49 h:m:s","4,704","868 m","10.2 kph","5:55 /km","--","--"
"12/08/2014","5","39.35 km","7.87 km","10.36 km","3:31:06 h:m:s","2,769","543 m","11.2 kph","5:22 /km","--","--"
"12/01/2014","7","58.25 km","8.32 km","10.92 km","5:49:59 h:m:s","4,010","1,091 m","10.0 kph","6:00 /km","--","--"
"11/24/2014","6","44.15 km","7.36 km","10.05 km","4:27:56 h:m:s","2,990","955 m","9.9 kph","6:04 /km","--","--"
"11/17/2014","3","22.49 km","7.50 km","10.23 km","2:11:16 h:m:s","1,530","488 m","10.3 kph","5:50 /km","--","--"
"11/10/2014","7","42.63 km","6.09 km","11.02 km","3:57:08 h:m:s","2,923","515 m","10.8 kph","5:34 /km","--","--"
"11/03/2014","7","52.08 km","8.68 km","12.00 km","4:33:42 h:m:s","3,620","752 m","11.4 kph","5:15 /km","--","--"
"10/27/2014","6","43.75 km","7.29 km","10.00 km","3:50:22 h:m:s","3,025","438 m","11.4 kph","5:16 /km","--","--"
"10/20/2014","4","23.59 km","5.90 km","7.91 km","2:03:25 h:m:s","1,640","367 m","11.5 kph","5:14 /km","--","--"
"10/13/2014","5","36.33 km","7.27 km","19.14 km","3:39:31 h:m:s","2,485","572 m","9.9 kph","6:03 /km","--","--"
"10/06/2014","5","35.44 km","7.09 km","9.58 km","3:15:00 h:m:s","2,425","564 m","10.9 kph","5:30 /km","--","--"
"09/29/2014","5","37.46 km","7.49 km","11.49 km","3:56:50 h:m:s","2,469","1,168 m","9.5 kph","6:19 /km","--","--"
"09/22/2014","4","30.39 km","7.60 km","10.00 km","2:44:10 h:m:s","2,099","523 m","11.1 kph","5:24 /km","--","--"
